Pedido Nº	Tipo	Situação	Categoria	Título	Data de cadastro	Descrição	Data de conclusão	Resposta da Ouvidoria	RESPOSTAS COM ANEXO
011	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	16/06/2015	"Venho por meio deste pedir a informação, através da lei do acesso a informação, solicitar maiores detalhes sobre os cargos  criados para a função Analista Judiciário - Apoio Especializado Assistente Social. Assim como a  Lei complementar 298 de 10 de março de 2015, criou 8 cargos de Assistente Social.  Gostaria de  saber se nos anos, 2012,2013 e 2014, também tiveram criação de outros. E se existiu outras alterações/criações. Quais as respectivas leis que os criaram?


Grata,
"	22/06/2015	"Prezado(a) Senhor(a), 
 
Ref. Pedido de Informação nº 011/2015 (Criação de Cargos - Analista Juidiciário/Assistente Social
 
Segue, abaixo, resposta ao seu pedido de informação registrado neste Órgão sob o nº em epígrafe:
 
1) A Lei complementar nº 100, de 21.11.2007, criou 144 (cento e quatenta e quatro) cargos de Analista Judiciário/Assistente Social, em virtude das Undades Judiciárias criadas pela referida Lei;
 
2) A Lei complementar nº 298, de 10.03.2015, apresentou, em seu quadro de cargos criados, 164 (cento e sessenta e quatro) cargos de Analista Judiciário/Assistente Social, alterando o quantitativo de cargos criados pela Lei complementar nº 100.
 
Atenciosamente.

Ouvidoria Geral da Justiça/CPSIC/TJPE 
"	
012	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	12/06/2015	"Senhores, gostaria de saber se existem terceirizados, e quantos são, ocupando o cargo de Suporte Técnico ou exercendo essa função na região do vale do São Francisco.
Desde já, agradeço a atenção! 

"	07/07/2015	"Prezado(a) Senhor(a), 
Ref. Pedido de Informação nº 012/2015 - CPSIC/TJPE
 
Segue, abaixo, resposta da Secretaria de Tecnologia da Informação e Comunicação deste TJPE, datada do dia 06 (seis) do corrente mês:
 
""Prezados, Esclareço que não existem terceirizados exercendo a função de Técnico Judiciário - TPJ/Suporte Técnico no Pólo 15 - Sertão do São Francisco. Atualmente, este pólo conta com 4 (quatro) servidores efetivos exercendo esta função. Atenciosamente, Juliana Neiva, Secretária de Tecnologia da Informação e Comunicação, Tribunal de Justiça de Pernambuco"" 

Atenciosamente.

Ouvidoria Geral da Justiça- CPSIC/TJPE 
"	
013	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	15/07/2015	"Bom dia!
Gostaria de receber de forma analítica(VARA, COMARCA,ETC) a quantidade funcionários efetivos, à disposição do tribunal via convênios, contratados, terceirizados e cedidos para outras instituições. Como também a quantidade de cargos criados e vagos para os efetivos. E estas informações são para o POLO 06-MATA NORTE  TJ-PE.

"	19/08/2015	"Prezado(a) Senhor(a),  

Ref. Pedido de Informação nº 013/2015 - CPSIC-TJPE

Segue, em arquivo anexo, resposta ao seu pedido de informação registrado nesta Ouvidoria Geral da Justiça - CPSIC/TJPE sob o nº 013/2015.

Atc.,  

Ouvidoria Geral da Justiça 

"	SIM                   Pedido de Informação nº 013/2015
014	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	21/07/2015	"Prezado Dr./a Ouvidor/a, boa noite!
 
Considerando a constatação fática da comissão de aprovados no último concurso do TJPE, realizado em 2012, de que existem diversos cargos vagos de servidores na comarca do Recife, venho, através do presente, por intermédio das prerrogativas da Lei de Acesso à Informação (Lei Federal nº 12.527/11), requerer que seja informado:

1) o quantitativo de cargos vagos atualmente (Técnico Judiciário e Analista Judiciário, salientando, no último, a especialidade, se for o caso) por vara e seção na comarca do Recife;
2) natureza do cargo dos servidores lotados por vara e seção (se técnico ou analista), indicando quantitativo de cada categoria por vara e seção.

Outrossim, solicita-se que seja inteirado se ainda restam cargos pendentes de nomeação, por razão da Lei Estadual nº 14.684 de 2012.
"	19/08/2015	"Prezado(a) Senhor(a),  

Ref. Pedido de Informação nº 014/2015 - CPSIC/TJPE

Segue, em arquivo anexo, resposta aos seu pedido de informação registrado nesta Ouvidoria Geral da Justiça sob o nº 014/2015 - CPSIC/TJPE.

Atc.,  

Ouvidoria Geral da Justiça 
"	SIM                   Pedido de Informação nº 014/2015
015	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	06/08/2015	GOSTARIA DE SER INFORMADO PELO TJ-PE, DA QUANTIDADE DE SERVIDORES CEDIDOS POR OUTROS ÓRGÃOS E TERCEIRIZADOS QUE ATUALMENTE EXERCEM SUAS FUNÇÕES NOS CARTÓRIOS DAS COMARCAS DA REGIÃO MATA SUL I, TENDO EM VISTA QUE ESTA INFORMAÇÃO É DE FUNDAMENTAL IMPORTÂNCIA PARA MIM. RESPEITOSAMENTE, GIVALDO JÚNIOR.	25/08/2015	"Prezado(a) Senhor(a),  

Ref: PEDIDO DE INFORMAÇÃO Nº 015/2015 - CPSIC/TJPE

Segue, em arquivo anexo, reposta ao seu pedido de informação registrado neste Órgão sob o nº 015/2015 - CPSIC/TJPE. Na oportunidade, informarmos a V.Sa. que não há servidores terceirizados exercendo funções nas secretarias judiciais deste TJPE.   

Atc.,

Ouvidoria Geral da Justiça - CPSIC/TJPE
"	SIM                   Pedido de Informação nº 015/2015
016	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	07/08/2015	"Solicito o número de cargos vagos nas Comarcas de Jaboatão dos Guararapes, Cabo de Santo Agostinho, Moreno e Ipojuca, como também o número de servidores das Prefeituras Municipais ou outros órgãos cedidos ao TJPE para prestar serviços nestas comarcas.
Certo da resposta, agradeço desde já.

"	28/08/2015	"Prezado(a) Senhor(a),  

Ref. PEDIDO DE INFORMAÇÃO Nº 016/2015 - CPSIC-TJPE

Segue, abaixo, resposta ao seu pedido de informação, com base na LAI, registrado nesta Ouvidoria sob o nº em epígrafe.
1. Quantitativo de cargos vagos nas Comarcas indicadas pela requerente: 
Sobre a solicitação da Usuária, informo que atualmente só estamos fazendo as reposições, ou seja, só está ocorrendo nomeação para todos os polos em virtude de exoneração, aposentadoria ou falecimento, pois não temos cargos vagos.

Atenciosamente,
Gerência de Seleção e Acolhimento/DDH/SGP.
2. Número de servidores das Prefeituras Municipais ou outros órgãos cedidos ao TJPE para prestar serviços nestas comarcas:

Atc.,

Ouvidoria Geral da Justiça 

"	
017	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	10/08/2015	"Usuário requer certidão sobre a senhora xxxxx de seguinte teor: 1. Se a referida senhora é integrante do quadro de servidores do TJPE; 2. Se positiva a resposta anterior, pede: a) qual a matricula funcional da referida servidora, o cargo que ocupa, se exerce função de confiança e qual sua lotação; b) Se a referida servidora se encontra em estágio probatório, qual o ato de seu provimento no cargo e a data da sua respectiva publicação."	18/08/2015	Resposta encaminhada ao solicitante diretamente pela Secretaria de Gestão de Pessoas, SGP.	SIM                   Pedido de Informação nº 017/2015
018	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	01/09/2015	"Boa tarde, prezados
Gostaria de obter informações relativas a quantidade de cargos vagos de servidores efetivos do TJPE existente atualmente.
"	02/09/2015	"Prezada Senhor,

Ref.: Registro nº 05204/2015

De acordo com informações prestadas, em 27/08/2015, pela Assessoria Técnica da Secretaria de Gestão de Pessoas - SGP, atualmente não existem cargos vagos no âmbito do Tribunal de Justiça de Pernambuco, só estão ocorrendo nomeações para todos os polos em virtude de exoneração, aposentadoria ou falecimento.

Atenciosamente, 

Ouvidoria Geral da Justiça 

"	
019	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	29/08/2015	"Bom dia, conforme solicitado, segue meu número de identificação pessoal e os quesitos referentes à informação que solicitei. 
1. Em ações judiciais na esfera cível, caso o juiz necessite de perito para elucidação da causa, existe alguma forma de credenciamento prévio do perito ad hoc, como banco de dados próprio ou solicitação ao órgão de classe profissional? 
2. Caso exista um credenciamento prévio, existe alguma relação de documentos que deva ser entregue? Qual o protocolo seguido para tal credenciamento? (virtual, pessoalmente, etc). Solicito documentação comprobatória.
3. Nos casos de beneficiários de justiça gratuita com necessidade de realização de prova pericial, este tribunal reserva alguma cifra para pagamento conforme a recomendação da resolução 127 do CNJ? Caso seja o estado que pague a perícia nesses casos, há alguma tabela de valores para pagamento?
"	14/09/2015	"1.   Em ações judiciais na esfera cível, caso o juiz necessite de perito para elucidação da causa, existe alguma forma de credenciamento prévio do perito ad hoc, como banco de dados próprio ou solicitação ao órgão de classe profissional? O Tribunal de Justiça de Pernambuco só custeia o pagamento de honorários periciais arbitrados em processos envolvendo beneficiários da justiça gratuita, consoante previsão da Resolução nº 127/09 do Conselho Nacional de Justiça. Atualmente só existe em aberto edital de credenciamento para peritos médicos. Está em fase de estudos a elaboração de um novo edital de credenciamento para englobar outras especialidades.
 
2.    Caso exista um credenciamento prévio, existe alguma relação de documentos que deva ser entregue? Qual o protocolo seguido para tal credenciamento? (virtual, pessoalmente, etc). Solicito documentação comprobatória. Conforme esclarecido anteriormente, no momento só existe credenciamento de peritos médicos. O Edital de Credenciamento nº 001/2012-SAD/TJPE e seus anexos estão disponíveis no site do TJPE, no campo destinado às licitações (www.tjpe.jus.br/licitai/licita_04.asp).
 
3.    Nos casos de beneficiários de justiça gratuita com necessidade de realização de prova pericial, este tribunal reserva alguma cifra para pagamento conforme a recomendação da resolução 127 do CNJ? Caso seja o estado que pague a perícia nesses casos, há alguma tabela de valores para pagamento?
O Tribunal de Justiça dispõe orçamento destinado ao pagamento de honorários periciais para os casos de beneficiários de justiça gratuita.Para os peritos médicos, existe a previsão do valor mínimo e máximo a ser pago para cada perícia (mínimo de R$ 250,00 e máximo de R$ 450,00), conforme previsão no Edital de Credenciamento nº 001/2012-SAD/TJPE. Para os demais casos, envolvendo pedidos profissionais de outras áreas, tais como engenheiro, contador, psicólogo, o critério de valor máximo a ser pago adotado é R$ 1.000,00, consoante art.  6º da Resolução nº 127/2009 do CNJ.
"	
020	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	07/09/2015	"Olá, gostaria de solicitar uma relação com todos os funcionários efetivos das varas do Polo Agreste Central II. Como faço para poder ter acesso a esses dados?

"	16/09/2015	"Prezado(a) Senhor(a),  

Ref.: PEDIDO DE INFORMAÇÃO Nº 020/2015 - CPSIC/TJPE

Segue, em arquivo anexo, reposta ao seu pedido de informação registrado neste Órgão sob o nº 020/2015 - CPSIC/TJPE. 

Atc.,

Ouvidoria Geral da Justiça - CPSIC/TJPE

"	SIM                   Pedido de Informação nº 020/2015
021	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	06/09/2015	"Gostaria de receber quadro com a listagem de funcionários do TJPE na condição de cedidos, ou seja, aqueles que trabalham no tj, mas pertencem a outro órgão. Se possível lista atualizada até a presente data.

"	19/10/2015	"Prezado(a) Senhor(a),  

Ref. Pedido de Informação nº 021/2015.

Segue, em arquivo anexo, resposta ao Pedido de Informação nº 021/2015.

Atenciosamente.  

Ouvidoria Geral da Justiça 
"	SIM                   Pedido de Informação nº 021/2015
022	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	24/09/2015	"Candidata aprovada no concurso vigente para preenchimento de cargos administrativos desse Tribunal, especificamente no Cargo de Técnica Judiciária, com base no Art. 5º., XXXIII da CF, bem como no direito à informação previsto na Lei 12.527, de 18/11/2011, solicito o que se segue:
1. Quadro resumido com o quantitativo de Técnicos Judiciários da Sétima Região (Agreste Setentrional) do Tribunal de Justiça de Pernambuco que preencherão os requisitos para aposentadoria, no período compreendido entre março de 2014 e março de 2016, distinguindo as aposentadorias voluntárias das aposentadorias compulsórias;
2. Indicação da quantidade de vagas existentes para o cargo de Técnico Judiciário, discriminando a quantidade de vagas por comarca, incluindo os cargos criados pela Lei nº 14.684/2012;
3. A quantidade de servidores requisitados existentes nas comarcas da Sétima Região;
4. Informação acerca de varas a serem instaladas no decorrer da validade do referido concurso.
Vale ressaltar que as informações solicitadas são de interesse de todos os aprovados para o cargo de Técnico Judiciário - Área Judiciária da região supra mencionada, bem como dos jurisdicionados e principalmente do próprio Tribunal que zela pela transparência e pela prestação de uma Justiça célere e eficiente de acordo com todos os preceitos constitucionais.
Nestes termos, requer o envio dos dados colhidos para o e-mail indicado inicialmente, e, se possível, a disponibilização em sítio do Tribunal para que outros candidatos e demais interessados possam obter as mesmas informações sem necessidade de recorrer novamente à Ouvidoria.
Pede e aguarda deferimento.
"	25/11/2015	"Prezada Senhora,  

De ordem do Ouvidor Geral da Justiça e Gestor do CPSIC/TJPE, Des. Ouvidor, encaminho, em arquivo anexo, resposta ao PEDIDO DE INFORMAÇÃO Nº 022/2015, formulado com base na LAI.

Atc.,   

Ouvidoria Geral da Justiça/CPSIC-TJPE 




"	SIM                   Pedido de Informação nº 022/2015
023	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	25/09/2015	"Por gentileza, gostaria de saber como conseguir um documento do Tribunal de Justiça de Pernambuco informando a quantidade de servidores terceirizados e cedidos na região do Moxotó.

"	25/11/2015	"Prezado Senhor, 

De ordem do Ouvidor Geral da Justiça e Gestor do CPSIC/TJPE, Des. José Ivo de Paula Guimarães, encaminho, em arquivo anexo, resposta ao PEDIDO DE INFORMAÇÃO Nº 023/2015, formulado com base na LAI.

Quanto aos terceirizados, segue link: www.tjpe.jus.br/web/transparencia/vencimento-colaboradores/remuneracao/empregados-empresas-contratadas

 Atc.,   

Ouvidoria Geral da Justiça/CPSIC-TJPE 

"	SIM                   Pedido de Informação nº 023/2015
024	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	30/09/2015	"Gostaria de saber:
1- Qual a quantidade de cargos vagos de Analista Judiciário?
2- Existe previsão de novas nomeações para o pólo Sertão do Araripe, uma vez que a 1ª Vara de Ouricuri, a 1ª de Araripina e Trindade, encontram-se o com o número de servidores inferior ao que determina a IN 06/2011?
"	07/10/2015	"Prezada Senhora,

Ref.: PEDIDO DE INFORMAÇÃO Nº 024/2015 - CPSIC/TJPE

De acordo com informações prestadas pela Assessoria Técnica da Secretaria de Gestão de Pessoas - SGP, deste TJPE, atualmente não existem cargos vagos no âmbito do Tribunal de Justiça de Pernambuco, só estão ocorrendo nomeações para todos os polos em virtude de exoneração, aposentadoria ou falecimento.

Atenciosamente, 

Ouvidoria Geral da Justiça  
"	
025	Pedido de Informações	Respondido	Lei de Acesso à Informação	ACESSO A INFORMAÇÃO	29/09/2015	Pedido de Informação nº 025/2015 – formalizado por Usuária através de requerimento registrado sob o RP nº 100679/2015-SGP sobre os cargos de analista, especialidade psicologia, na Comarca de Jaboatão dos Guararapes.	18/10/2015	"Prezado(a) Senhor(a), 

Ref. Pedido de Informação nº 025/2015 - CPSIC/TJPE

Segue, em arquivo anexo, resposta ao seu pedido de informação registrado neste Órgão sob o nº em epígrafe.

Ouvidoria Geral da Justiça 
"	SIM                     Pedido de Informação nº 025/2015
